Time (s),Volume (m^3),NH2_X(8),NH_X(9),NHO_X(10),H2O_X(11),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),HX(13)
0.0,0.04813658495077032,0.0,0.0,0.0,0.0,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028485864002679218,0.88,0.0,0.0,0.0,0.066,0.0,0.0
7.271264110590586e-28,0.04813658495077032,1.1644022453632094e-23,8.386457997578239e-44,6.165753617068696e-85,-7.802028675231219e-96,0.054,1.593952544121036e-105,1.1099400145444298e-22,8.029571610908215e-62,3.4034976378269196e-58,1.9341449046886252e-22,0.0,0.0,0.028485864002679218,0.88,-7.837346124278583e-92,-3.1927455220399105e-124,2.1803791027183647e-132,0.066,4.882198777188525e-184,1.1644022453632094e-23
2.035953950965364e-27,0.04813658495077032,3.260326287016986e-23,5.0654206305372856e-43,1.938611562104052e-83,9.355937826602095e-95,0.054,9.182699383007988e-104,3.107832040724404e-22,9.532707416470283e-61,5.143365530819907e-57,5.415605733128152e-22,0.0,0.0,0.028485864002679218,0.88,7.743799541144001e-91,2.589769522977776e-114,2.2827982382698467e-130,0.066,2.0578793615509105e-182,3.260326287016986e-23
4.653609030777975e-27,0.04813658495077032,7.45217437032454e-23,2.4387819856957953e-42,4.324935750279846e-82,4.912594799520687e-93,0.054,4.1180403931610814e-102,7.103616093084351e-22,9.359268669674772e-60,5.532997925986181e-56,1.2378527390007203e-21,0.0,0.0,0.028485864002679218,0.88,4.2710526684954485e-89,4.9945555091838806e-113,2.050742884984732e-128,0.066,1.791862061595577e-180,7.45217437032454e-23
9.888919190403197e-27,0.04813658495077032,1.5835870536939648e-22,1.0650801656924811e-41,8.100126010203359e-81,1.908346142540506e-91,0.054,1.5493367167719393e-100,1.5095184197804247e-21,8.278167147982257e-59,5.085778345002711e-55,2.630437070376531e-21,0.0,0.0,0.028485864002679218,0.88,1.6809386383172797e-87,8.549939097624988e-112,1.546438559738306e-126,0.066,1.306828038402811e-178,1.5835870536939648e-22
2.0359539509653644e-26,0.04813658495077032,3.2603262870169862e-22,4.446500030316385e-41,1.3990953323535564e-79,6.705579762246587e-90,0.054,5.364912136704075e-99,3.1078320407244036e-21,6.958298284867873e-58,4.350990448130028e-54,5.4156057331281524e-21,0.0,0.0,0.028485864002679218,0.88,5.93913532311982e-86,1.4114613869044714e-110,1.0722374363173977e-124,0.066,8.906294061911247e-177,3.2603262870169862e-22
4.1300780148154533e-26,0.04813658495077032,6.613804753663029e-22,1.816540348107778e-40,2.3246178199459743e-78,2.2470737442634594e-88,0.054,1.7849488100822165e-97,6.3044592826123624e-21,5.704833336610118e-57,3.597483042414232e-53,1.0985943058631394e-20,0.0,0.0,0.028485864002679218,0.88,1.9953011603556403e-84,2.292993034939919e-109,7.139159221212481e-123,0.066,5.951303688887988e-175,6.613804753663029e-22
8.318326142515631e-26,0.04813658495077032,1.3320761686955115e-21,7.342746526866439e-40,3.789713749755908e-77,7.3572270432495535e-87,0.054,5.823419354895308e-96,1.2697713766388278e-20,4.61992194378014e-56,2.9254134646043266e-52,2.212661770963788e-20,0.0,0.0,0.028485864002679218,0.88,6.540873995638167e-83,3.696500499705195e-108,4.6597482925516105e-121,0.066,4.282348689129025e-173,1.3320761686955115e-21
1.6694822397915988e-25,0.04813658495077032,2.6734675553539285e-21,2.952486083881685e-39,6.120397828695537e-76,2.381334945620079e-85,0.054,1.8815500126948296e-94,2.5484222733940112e-20,3.7185151044810205e-55,2.359451939584089e-51,4.440796701165084e-20,0.0,0.0,0.028485864002679218,0.88,2.118371347717465e-81,5.936568893679979e-107,3.0115986554805617e-119,0.066,4.9361861420050985e-171,2.6734675553539285e-21
3.34478149087167e-25,0.04813658495077032,5.356250328670763e-21,1.184078972805106e-38,9.838360756542918e-75,7.663803717207579e-84,0.054,6.050012393772422e-93,5.105724066904377e-20,2.9838741874468293e-54,1.8952401103747425e-50,8.897066561567676e-20,0.0,0.0,0.028485864002679218,0.88,6.819533626643111e-80,9.516244583126448e-106,1.9368730454135133e-117,0.066,1.4414757227696132e-168,5.356250328670763e-21
6.695379993031812e-25,0.04813658495077032,1.0721815875304432e-20,4.742492014355542e-38,1.577805268675518e-73,2.4594060711188183e-82,0.054,1.9406654277836993e-91,1.0220327653925111e-19,2.390730407934977e-53,1.5192695321342592e-49,1.7809606282372856e-19,0.0,0.0,0.028485864002679218,0.88,2.1887923744074503e-78,1.524017880340426e-104,1.242631514880364e-115,0.066,6.708609804500207e-166,1.0721815875304432e-20
1.3396576997352096e-24,0.04813658495077032,2.1452946968571773e-20,1.8982327348361415e-37,2.527426316978104e-72,7.88130069372709e-81,0.054,6.2175981928372105e-90,2.0449534827966574e-19,1.9140379927906357e-52,1.2166478075155939e-48,3.56346857239832e-19,0.0,0.0,0.028485864002679218,0.88,7.014620100034918e-77,2.4395636060611735e-103,7.962560643600879e-114,0.066,3.3983902422697705e-163,2.1452946968571773e-20
2.6798971005992665e-24,0.04813658495077032,4.2915209155106465e-20,7.595403502030322e-37,4.046233957512854e-71,2.5238099503147234e-79,0.054,1.9908272730232162e-88,4.0907949176049513e-19,1.531812109461882e-51,9.738113596108848e-48,7.128484460720384e-19,0.0,0.0,0.028485864002679218,0.88,2.246357387048877e-75,3.9042097677194256e-102,5.099151132979241e-112,0.066,1.7393497044198837e-160,4.2915209155106465e-20
5.3603759023273804e-24,0.04813658495077032,8.583973352817585e-20,3.0386559838238727e-36,6.475856428798401e-70,8.079063027427937e-78,0.054,6.372561307656802e-87,8.182477787221537e-19,1.2256824234006694e-50,7.792463813048743e-47,1.4258516237364497e-18,0.0,0.0,0.028485864002679218,0.88,7.191031114857855e-74,6.247462026832891e-101,3.264453029231352e-110,0.066,8.909442483728557e-158,8.583973352817585e-20
1.0721333505783607e-23,0.04813658495077032,1.716887822743146e-19,1.2155613171991987e-35,1.0362876210199558e-68,2.5857596563116572e-76,0.054,2.03952591765967e-85,1.6365843526454705e-18,9.806390430157851e-50,6.23476032125504e-46,2.851857979065264e-18,0.0,0.0,0.028485864002679214,0.88,2.301560044838907e-72,9.99652036192849e-100,2.0895688138727577e-108,0.066,4.56300868588753e-155,1.7168878227431466e-19
2.1443248712696063e-23,0.04813658495077032,3.4338687976659244e-19,4.862443123362134e-35,1.658180677448885e-67,8.275166158415833e-75,0.054,6.526973058339956e-84,3.2732575004921037e-18,7.845484781471859e-49,4.9881239845941113e-45,5.703870689722862e-18,0.0,0.0,0.02848586400267921,0.88,7.36568035791793e-71,1.5994897474956023e-98,1.3374260902020016e-106,0.066,2.336635139352978e-152,3.433868797665926e-19
4.2887079126520977e-23,0.04813658495077032,6.867830747511492e-19,1.945016821107515e-34,2.6531854749855064e-66,2.6481708182542247e-73,0.054,2.0887098016549588e-82,6.546603796185369e-18,6.276536804531106e-48,3.990625482553162e-44,1.1407896111037936e-17,0.0,0.0,0.0284858640026792,0.88,2.357127834716911e-69,2.559220787878198e-97,8.559853550148212e-105,0.066,1.1964545844137966e-149,6.867830747511495e-19
8.57747399541708e-23,0.04813658495077032,1.373575464720266e-18,7.780146429820895e-34,4.245173874623937e-65,8.47433485946253e-72,0.054,6.683996845162084e-81,1.3093296387571888e-17,5.021289036861367e-47,3.1925509047445854e-43,2.281594695366759e-17,0.0,0.0,0.02848586400267918,0.88,7.542985268045783e-68,4.094783014803222e-96,5.478410778050525e-103,0.06599999999999999,6.126097747804925e-147,1.3735754647202675e-18
1.7155006160947045e-22,0.04813658495077032,2.7471602446585154e-18,3.1120744020058114e-33,6.792339892434195e-64,2.7118172739625576e-70,0.054,2.1388990676653367e-79,2.6186681570344892e-17,4.017055068061829e-46,2.554060931398736e-42,4.563204863892491e-17,0.0,0.0,0.02848586400267914,0.88,2.4137834776336353e-66,6.551676629251382e-95,3.506216340586297e-101,0.06599999999999996,3.13662617981749e-144,2.7471602446585216e-18
3.4310070492006974e-22,0.04813658495077032,5.4943298045350774e-18,1.2448329275679326e-32,1.0867793184773505e-62,8.677863467080716e-69,0.054,6.8445091416204875e-78,5.237345193589076e-17,3.213653591700803e-45,2.0432568281399658e-41,9.126425200943165e-17,0.0,0.0,0.028485864002679065,0.88,7.72415223551316e-65,1.0482701658319976e-93,2.2439891601255523e-99,0.06599999999999992,1.6059690270077905e-141,5.494329804535102e-18
6.862019915412683e-22,0.04813658495077032,1.0988668924288446e-17,4.979338049754569e-32,1.738850858827358e-61,2.7769240198179436e-67,0.054,2.1902480662264206e-76,1.0474699266698194e-16,2.570926691132213e-44,1.6346086956447936e-40,1.8252865875041354e-16,0.0,0.0,0.02848586400267891,0.88,2.4717359324003983e-63,1.677233791713362e-92,1.436156487750066e-97,0.06599999999999982,8.22260347256695e-139,1.0988668924288547e-17
1.3724045647836656e-21,0.04813658495077032,2.1977347163796167e-17,1.991736492554762e-31,2.7821645357889026e-60,8.88616919912073e-66,0.054,7.008802043014919e-75,2.0949407412916199e-16,2.0567428845991417e-43,1.3076882496394184e-39,3.6505747223225087e-16,0.0,0.0,0.0284858640026786,0.88,7.909566530180292e-62,2.6835752950816796e-91,9.191412489799402e-96,0.06599999999999963,4.209983753086996e-136,2.1977347163796568e-17
2.74480971126846e-21,0.04813658495077032,4.3954703642815554e-17,7.96694855357092e-31,4.451465793796639e-59,2.843576116869235e-64,0.054,2.2428179743411094e-73,4.1898823705351296e-16,1.6453949276904714e-42,1.0461511167519693e-38,7.301150991954197e-16,0.0,0.0,0.028485864002677982,0.8799999999999999,2.531063136601056e-60,4.293721477955944e-90,5.882507512667861e-94,0.06599999999999924,2.155514449289317e-133,4.3954703642817144e-17
5.489620004238048e-21,0.04813658495077032,8.790941660087005e-17,3.18677996853505e-30,7.122347322344936e-58,9.099446727416996e-63,0.054,7.177019653860626e-72,8.379765629021785e-16,1.3163162018905758e-41,8.369210998830056e-38,1.4602303531197335e-15,0.0,0.0,0.028485864002676744,0.8799999999999997,8.099404989046667e-59,6.86995524350995e-89,3.76480594624433e-92,0.06599999999999846,1.1036241160533084e-130,8.790941660087642e-17
1.0979240590177225e-20,0.04813658495077032,1.7581884251704208e-16,1.2747121211843535e-29,1.1395757431303289e-56,2.9118234550148445e-61,0.054,2.2966466457400867e-70,1.675953214599364e-15,1.0530530841816475e-40,6.695369619633177e-37,2.920460860960267e-15,0.0,0.0,0.02848586400267427,0.8799999999999992,2.5918100667628676e-57,1.099192933021683e-87,2.4094761851521826e-90,0.06599999999999691,5.650557409419003e-128,1.7581884251706757e-16
2.195848176205558e-20,0.04813658495077032,3.5163769434963807e-16,5.09884894707001e-29,1.823321349847808e-55,9.317835844860309e-60,0.054,7.349269931173112e-69,3.3519065179931496e-15,8.42442546451229e-40,5.3562960153635105e-36,5.840921876608957e-15,0.0,0.0,0.028485864002669323,0.8799999999999983,8.293792953014638e-56,1.7587088446087108e-86,1.5420648996057485e-88,0.06599999999999381,2.8930859884718915e-125,3.5163769434974e-16
